DeltaPHI,DeltaPHI_diff,Depth,Facies,Formation,GR,GR_diff,ILD_log10,ILD_log10_diff,NM_M,NM_M_diff,PE,PE_diff,PHIND,PHIND_diff,RELPOS,RELPOS_diff,Well Name
14.2,4.299999999999999,2793.5,3,A1 SH,78.26,0.8100000000000023,0.6609999999999999,-0.0030000000000001137,1,0,4.1,-0.5,12.565,0.6500000000000004,0.9790000000000001,-0.020999999999999908,SHRIMPLIN
14.8,0.6000000000000014,2794.0,3,A1 SH,79.05,0.789999999999992,0.6579999999999999,-0.0030000000000000027,1,0,3.6,-0.49999999999999956,13.05,0.4850000000000012,0.9570000000000001,-0.02200000000000002,SHRIMPLIN
13.9,-0.9000000000000004,2794.5,3,A1 SH,86.1,7.049999999999997,0.655,-0.0029999999999998916,1,0,3.5,-0.10000000000000009,13.115,0.0649999999999995,0.9359999999999999,-0.02100000000000013,SHRIMPLIN
13.5,-0.40000000000000036,2795.0,3,A1 SH,74.58,-11.519999999999996,0.647,-0.008000000000000007,1,0,3.4,-0.10000000000000009,13.3,0.1850000000000005,0.915,-0.020999999999999908,SHRIMPLIN
14.0,0.5,2795.5,3,A1 SH,73.97,-0.6099999999999994,0.636,-0.01100000000000001,1,0,3.6,0.20000000000000018,13.385,0.08499999999999908,0.894,-0.02100000000000002,SHRIMPLIN
15.6,1.5999999999999996,2796.0,3,A1 SH,73.72,-0.25,0.63,-0.006000000000000005,1,0,3.7,0.10000000000000009,13.93,0.5449999999999999,0.872,-0.02200000000000002,SHRIMPLIN
16.5,0.9000000000000004,2796.5,3,A1 SH,75.65,1.9300000000000068,0.625,-0.0050000000000000044,1,0,3.5,-0.20000000000000018,13.92,-0.009999999999999787,0.83,-0.04200000000000004,SHRIMPLIN
16.2,-0.3000000000000007,2797.0,3,A1 SH,73.79,-1.8599999999999994,0.624,-0.0010000000000000009,1,0,3.4,-0.10000000000000009,13.98,0.0600000000000005,0.809,-0.020999999999999908,SHRIMPLIN
16.9,0.6999999999999993,2797.5,3,A1 SH,76.89,3.0999999999999943,0.615,-0.009000000000000008,1,0,3.5,0.10000000000000009,14.22,0.2400000000000002,0.787,-0.02200000000000002,SHRIMPLIN
14.8,-2.099999999999998,2798.0,3,A1 SH,76.11,-0.7800000000000011,0.6,-0.015000000000000013,1,0,3.6,0.10000000000000009,13.375,-0.8450000000000006,0.7659999999999999,-0.02100000000000013,SHRIMPLIN
13.3,-1.5,2798.5,3,A1 SH,74.95,-1.1599999999999966,0.583,-0.017000000000000015,1,0,3.7,0.10000000000000009,12.69,-0.6850000000000005,0.745,-0.020999999999999908,SHRIMPLIN
11.3,-2.0,2799.0,3,A1 SH,71.87,-3.0799999999999983,0.561,-0.02199999999999991,1,0,3.5,-0.20000000000000018,12.475,-0.21499999999999986,0.723,-0.02200000000000002,SHRIMPLIN
13.3,2.0,2799.5,3,A1 SH,83.42,11.549999999999997,0.537,-0.02400000000000002,1,0,3.4,-0.10000000000000009,14.93,2.455,0.7020000000000001,-0.020999999999999908,SHRIMPLIN
14.3,1.0,2800.0,2,A1 SH,90.1,6.679999999999993,0.519,-0.018000000000000016,1,0,3.2,-0.19999999999999973,16.555,1.625,0.6809999999999999,-0.02100000000000013,SHRIMPLIN
11.8,-2.5,2800.5,2,A1 SH,78.15,-11.949999999999989,0.467,-0.05199999999999999,1,0,3.1,-0.10000000000000009,15.96,-0.5949999999999989,0.638,-0.04299999999999993,SHRIMPLIN
9.5,-2.3000000000000007,2801.0,2,A1 SH,69.3,-8.850000000000009,0.43799999999999994,-0.02900000000000008,1,0,3.1,0.0,15.12,-0.8400000000000016,0.617,-0.02100000000000002,SHRIMPLIN
8.8,-0.6999999999999993,2801.5,2,A1 SH,63.54,-5.759999999999998,0.418,-0.019999999999999962,1,0,3.0,-0.10000000000000009,15.19,0.07000000000000028,0.596,-0.02100000000000002,SHRIMPLIN
7.2,-1.6000000000000005,2802.0,2,A1 SH,63.87,0.3299999999999983,0.401,-0.01699999999999996,1,0,2.9,-0.10000000000000009,15.39,0.20000000000000107,0.574,-0.02200000000000002,SHRIMPLIN
6.6,-0.6000000000000005,2802.5,2,A1 SH,58.32,-5.549999999999997,0.386,-0.015000000000000013,1,0,2.8,-0.10000000000000009,14.885,-0.5050000000000008,0.5529999999999999,-0.02100000000000002,SHRIMPLIN
5.5,-1.0999999999999996,2803.0,2,A1 SH,56.61,-1.7100000000000009,0.369,-0.017000000000000015,1,0,3.0,0.20000000000000018,14.8,-0.08499999999999908,0.532,-0.020999999999999908,SHRIMPLIN
6.1,0.5999999999999996,2803.5,2,A1 SH,55.97,-0.6400000000000006,0.35200000000000004,-0.01699999999999996,1,0,3.0,0.0,14.46,-0.33999999999999986,0.511,-0.02100000000000002,SHRIMPLIN
6.0,-0.09999999999999964,2804.0,2,A1 SH,63.67,7.700000000000003,0.344,-0.008000000000000063,1,0,3.0,0.0,14.745,0.28499999999999837,0.489,-0.02200000000000002,SHRIMPLIN
6.8,0.7999999999999998,2804.5,2,A1 SH,66.2,2.530000000000001,0.342,-0.0019999999999999463,1,0,3.0,0.0,15.135,0.39000000000000057,0.46799999999999997,-0.02100000000000002,SHRIMPLIN
6.1,-0.7000000000000002,2805.0,2,A1 SH,61.27,-4.93,0.34600000000000003,0.0040000000000000036,1,0,3.0,0.0,15.48,0.34500000000000064,0.447,-0.020999999999999963,SHRIMPLIN
5.8,-0.2999999999999998,2805.5,3,A1 SH,69.48,8.21,0.354,0.007999999999999952,1,0,3.0,0.0,14.675,-0.8049999999999997,0.40399999999999997,-0.04300000000000004,SHRIMPLIN
5.2,-0.5999999999999996,2806.0,3,A1 SH,76.37,6.890000000000001,0.354,0.0,1,0,3.0,0.0,13.635,-1.040000000000001,0.38299999999999995,-0.02100000000000002,SHRIMPLIN
7.4,2.2,2806.5,2,A1 SH,82.2,5.829999999999998,0.348,-0.006000000000000005,1,0,3.0,0.0,15.055,1.42,0.36200000000000004,-0.020999999999999908,SHRIMPLIN
11.5,4.1,2807.0,2,A1 SH,90.25,8.049999999999997,0.34600000000000003,-0.0019999999999999463,1,0,3.1,0.10000000000000009,20.23,5.175000000000001,0.34,-0.02200000000000002,SHRIMPLIN
14.2,2.6999999999999993,2807.5,2,A1 SH,94.38,4.1299999999999955,0.358,0.011999999999999955,1,0,3.0,-0.10000000000000009,24.015,3.785,0.319,-0.02100000000000002,SHRIMPLIN
13.9,-0.29999999999999893,2808.0,2,A1 SH,87.44,-6.939999999999998,0.377,0.019000000000000017,1,0,3.1,0.10000000000000009,23.58,-0.4350000000000023,0.298,-0.02100000000000002,SHRIMPLIN
11.5,-2.4000000000000004,2808.5,2,A1 SH,70.98,-16.459999999999994,0.401,0.02400000000000002,1,0,3.1,0.0,18.395,-5.184999999999999,0.27699999999999997,-0.02100000000000002,SHRIMPLIN
10.3,-1.1999999999999993,2809.0,2,A1 SH,64.72,-6.260000000000005,0.439,0.03799999999999998,1,0,3.1,0.0,13.815,-4.58,0.255,-0.021999999999999964,SHRIMPLIN
9.9,-0.40000000000000036,2809.5,3,A1 SH,54.29,-10.43,0.47,0.030999999999999972,1,0,3.2,0.10000000000000009,9.44,-4.375,0.23399999999999999,-0.02100000000000002,SHRIMPLIN
11.1,1.1999999999999993,2810.0,3,A1 SH,41.46,-12.829999999999998,0.493,0.02300000000000002,1,0,3.4,0.19999999999999973,5.255,-4.185,0.213,-0.02099999999999999,SHRIMPLIN
12.1,1.0,2810.5,3,A1 SH,50.93,9.469999999999999,0.524,0.031000000000000028,1,0,4.6,1.1999999999999997,5.265,0.009999999999999787,0.17,-0.04299999999999998,SHRIMPLIN
11.3,-0.7999999999999989,2811.0,3,A1 SH,72.79,21.860000000000007,0.5429999999999999,0.018999999999999906,1,0,4.1,-0.5,11.76,6.495,0.149,-0.02100000000000002,SHRIMPLIN
14.1,2.799999999999999,2811.5,3,A1 SH,95.34,22.549999999999997,0.555,0.012000000000000122,1,0,3.5,-0.5999999999999996,17.665,5.904999999999999,0.128,-0.02099999999999999,SHRIMPLIN
15.8,1.700000000000001,2812.0,3,A1 SH,102.35,7.009999999999991,0.5579999999999999,0.0029999999999998916,1,0,3.2,-0.2999999999999998,20.145,2.4800000000000004,0.106,-0.022000000000000006,SHRIMPLIN
15.5,-0.3000000000000007,2812.5,3,A1 SH,79.7,-22.64999999999999,0.5489999999999999,-0.009000000000000008,1,0,3.2,0.0,18.07,-2.0749999999999993,0.085,-0.02099999999999999,SHRIMPLIN
14.0,-1.5,2813.0,3,A1 SH,66.69,-13.010000000000005,0.53,-0.018999999999999906,1,0,3.3,0.09999999999999964,15.72,-2.3499999999999996,0.064,-0.021000000000000005,SHRIMPLIN
14.7,0.6999999999999993,2813.5,2,A1 SH,73.68,6.990000000000009,0.521,-0.009000000000000008,1,0,3.3,0.0,15.98,0.2599999999999998,0.043,-0.021000000000000005,SHRIMPLIN
17.2,2.5,2814.0,2,A1 SH,71.05,-2.6300000000000097,0.535,0.014000000000000012,1,0,3.3,0.0,18.02,2.039999999999999,0.021,-0.021999999999999995,SHRIMPLIN
11.6,-5.6,2814.5,8,A1 LM,57.02,-14.029999999999994,0.628,0.09299999999999997,2,1,3.5,0.20000000000000018,12.09,-5.93,1.0,0.979,SHRIMPLIN
7.3,-4.3,2815.0,8,A1 LM,43.29,-13.730000000000004,0.7020000000000001,0.07400000000000007,2,0,4.0,0.5,6.705,-5.385,0.981,-0.019000000000000017,SHRIMPLIN
5.7,-1.5999999999999996,2815.5,8,A1 LM,36.06,-7.229999999999997,0.762,0.05999999999999994,2,0,5.0,1.0,4.595,-2.1100000000000003,0.963,-0.018000000000000016,SHRIMPLIN
5.1,-0.6000000000000005,2816.0,8,A1 LM,46.0,9.939999999999998,0.823,0.06099999999999994,2,0,5.5,0.5,4.62,0.025000000000000355,0.9440000000000001,-0.018999999999999906,SHRIMPLIN
4.6,-0.5,2816.5,6,A1 LM,60.3,14.299999999999997,0.915,0.09200000000000008,2,0,5.6,0.09999999999999964,5.01,0.3899999999999997,0.9259999999999999,-0.018000000000000127,SHRIMPLIN
4.4,-0.1999999999999993,2817.0,6,A1 LM,75.22,14.920000000000002,0.9990000000000001,0.08400000000000007,2,0,5.5,-0.09999999999999964,5.295,0.28500000000000014,0.907,-0.018999999999999906,SHRIMPLIN
4.7,0.2999999999999998,2817.5,6,A1 LM,87.19,11.969999999999999,1.045,0.04599999999999982,2,0,5.4,-0.09999999999999964,5.32,0.025000000000000355,0.889,-0.018000000000000016,SHRIMPLIN
5.2,0.5,2818.0,6,A1 LM,86.86,-0.3299999999999983,1.064,0.019000000000000128,2,0,5.4,0.0,5.785,0.46499999999999986,0.87,-0.019000000000000017,SHRIMPLIN
6.5,1.2999999999999998,2818.5,6,A1 LM,88.0,1.1400000000000006,1.051,-0.013000000000000123,2,0,5.4,0.0,6.38,0.5949999999999998,0.852,-0.018000000000000016,SHRIMPLIN
7.8,1.2999999999999998,2819.0,6,A1 LM,75.47,-12.530000000000001,1.018,-0.03299999999999992,2,0,5.5,0.09999999999999964,7.215,0.835,0.833,-0.019000000000000017,SHRIMPLIN
10.0,2.2,2819.5,6,A1 LM,59.36,-16.11,0.972,-0.04600000000000004,2,0,4.9,-0.5999999999999996,8.925,1.7100000000000009,0.7959999999999999,-0.03700000000000003,SHRIMPLIN
8.6,-1.4000000000000004,2820.0,6,A1 LM,55.57,-3.789999999999999,0.9520000000000001,-0.019999999999999907,2,0,4.5,-0.40000000000000036,9.355,0.4299999999999997,0.778,-0.017999999999999905,SHRIMPLIN
5.4,-3.1999999999999993,2820.5,6,A1 LM,46.96,-8.61,0.924,-0.028000000000000025,2,0,4.3,-0.20000000000000018,9.12,-0.2350000000000012,0.759,-0.019000000000000017,SHRIMPLIN
3.6,-1.8000000000000003,2821.0,6,A1 LM,43.67,-3.289999999999999,0.8759999999999999,-0.048000000000000154,2,0,4.1,-0.20000000000000018,8.225,-0.8949999999999996,0.741,-0.018000000000000016,SHRIMPLIN
5.1,1.4999999999999996,2821.5,6,A1 LM,55.23,11.559999999999995,0.826,-0.04999999999999993,2,0,4.3,0.20000000000000018,7.875,-0.34999999999999964,0.722,-0.019000000000000017,SHRIMPLIN
9.7,4.6,2822.0,6,A1 LM,61.24,6.010000000000005,0.777,-0.04899999999999993,2,0,4.3,0.0,8.575,0.6999999999999993,0.7040000000000001,-0.017999999999999905,SHRIMPLIN
12.8,3.1000000000000014,2822.5,6,A1 LM,54.46,-6.780000000000001,0.728,-0.049000000000000044,2,0,4.4,0.10000000000000053,10.66,2.085000000000001,0.685,-0.019000000000000017,SHRIMPLIN
14.9,2.0999999999999996,2823.0,7,A1 LM,43.23,-11.230000000000004,0.6990000000000001,-0.028999999999999915,2,0,4.0,-0.40000000000000036,12.375,1.7149999999999999,0.667,-0.018000000000000016,SHRIMPLIN
16.0,1.0999999999999996,2823.5,7,A1 LM,44.59,1.3600000000000065,0.682,-0.017000000000000015,2,0,3.9,-0.10000000000000009,13.54,1.1649999999999991,0.648,-0.019000000000000017,SHRIMPLIN
16.5,0.5,2824.0,4,A1 LM,47.48,2.8899999999999935,0.6759999999999999,-0.006000000000000116,2,0,3.7,-0.19999999999999973,12.89,-0.6499999999999986,0.63,-0.018000000000000016,SHRIMPLIN
15.2,-1.3000000000000007,2824.5,4,A1 LM,61.1,13.620000000000005,0.6709999999999999,-0.0050000000000000044,2,0,3.7,0.0,11.785,-1.1050000000000004,0.611,-0.019000000000000017,SHRIMPLIN
9.1,-6.1,2825.0,4,A1 LM,64.82,3.7199999999999918,0.68,0.009000000000000119,2,0,4.5,0.7999999999999998,8.97,-2.8149999999999995,0.574,-0.03700000000000003,SHRIMPLIN
6.1,-3.0,2825.5,4,A1 LM,55.77,-9.04999999999999,0.71,0.029999999999999916,2,0,5.1,0.5999999999999996,8.93,-0.040000000000000924,0.556,-0.017999999999999905,SHRIMPLIN
4.3,-1.7999999999999998,2826.0,4,A1 LM,62.22,6.449999999999996,0.7440000000000001,0.03400000000000014,2,0,5.5,0.40000000000000036,9.215,0.28500000000000014,0.537,-0.019000000000000017,SHRIMPLIN
2.9,-1.4,2826.5,6,A1 LM,55.06,-7.159999999999997,0.7859999999999999,0.041999999999999815,2,0,5.6,0.09999999999999964,9.5,0.28500000000000014,0.519,-0.018000000000000016,SHRIMPLIN
3.1,0.20000000000000018,2827.0,6,A1 LM,71.02,15.959999999999994,0.8390000000000001,0.05300000000000016,2,0,5.4,-0.1999999999999993,8.89,-0.6099999999999994,0.5,-0.019000000000000017,SHRIMPLIN
3.9,0.7999999999999998,2827.5,6,A1 LM,91.37,20.35000000000001,0.8809999999999999,0.041999999999999815,2,0,5.3,-0.10000000000000053,8.06,-0.8300000000000001,0.48100000000000004,-0.01899999999999996,SHRIMPLIN
5.2,1.3000000000000003,2828.0,6,A1 LM,115.42,24.049999999999997,0.9109999999999999,0.030000000000000027,2,0,5.3,0.0,6.875,-1.1850000000000005,0.46299999999999997,-0.01800000000000007,SHRIMPLIN
5.9,0.7000000000000002,2828.5,6,A1 LM,115.7,0.28000000000000114,0.94,0.029000000000000026,2,0,5.2,-0.09999999999999964,6.085,-0.79,0.444,-0.01899999999999996,SHRIMPLIN
6.0,0.09999999999999964,2829.0,6,A1 LM,107.11,-8.590000000000003,0.972,0.03200000000000003,2,0,5.6,0.39999999999999947,6.135,0.04999999999999982,0.426,-0.018000000000000016,SHRIMPLIN
5.8,-0.20000000000000018,2829.5,6,A1 LM,93.82,-13.290000000000006,1.008,0.03600000000000003,2,0,5.6,0.0,6.64,0.5049999999999999,0.40700000000000003,-0.01899999999999996,SHRIMPLIN
3.6,-2.1999999999999997,2830.0,6,A1 LM,61.63,-32.18999999999999,1.061,0.052999999999999936,2,0,6.1,0.5,6.865,0.22500000000000053,0.37,-0.03700000000000003,SHRIMPLIN
3.6,0.0,2830.5,6,A1 LM,45.98,-15.650000000000006,1.0759999999999998,0.014999999999999902,2,0,6.2,0.10000000000000053,6.25,-0.6150000000000002,0.35200000000000004,-0.01799999999999996,SHRIMPLIN
3.0,-0.6000000000000001,2831.0,6,A1 LM,32.76,-13.219999999999999,1.071,-0.004999999999999893,2,0,5.8,-0.40000000000000036,6.225,-0.025000000000000355,0.33299999999999996,-0.019000000000000072,SHRIMPLIN
3.6,0.6000000000000001,2831.5,6,A1 LM,37.82,5.060000000000002,1.058,-0.0129999999999999,2,0,5.7,-0.09999999999999964,6.19,-0.034999999999999254,0.315,-0.01799999999999996,SHRIMPLIN
2.3,-1.3000000000000003,2832.0,6,A1 LM,40.73,2.9099999999999966,1.038,-0.020000000000000018,2,0,5.5,-0.20000000000000018,6.375,0.1849999999999996,0.29600000000000004,-0.01899999999999996,SHRIMPLIN
2.2,-0.09999999999999964,2832.5,6,A1 LM,33.42,-7.309999999999995,1.005,-0.03300000000000014,2,0,5.4,-0.09999999999999964,6.61,0.23500000000000032,0.278,-0.018000000000000016,SHRIMPLIN
2.2,0.0,2833.0,6,A1 LM,32.08,-1.3400000000000034,0.968,-0.03699999999999992,2,0,5.3,-0.10000000000000053,7.355,0.7450000000000001,0.259,-0.019000000000000017,SHRIMPLIN
2.1,-0.10000000000000009,2833.5,6,A1 LM,33.82,1.740000000000002,0.943,-0.025000000000000022,2,0,4.9,-0.39999999999999947,8.33,0.9749999999999996,0.24100000000000002,-0.017999999999999988,SHRIMPLIN
1.1,-1.0,2834.0,6,A1 LM,45.57,11.75,0.924,-0.018999999999999906,2,0,4.7,-0.20000000000000018,8.84,0.5099999999999998,0.222,-0.019000000000000017,SHRIMPLIN
1.9,0.7999999999999998,2834.5,6,A1 LM,53.95,8.380000000000003,0.9,-0.02400000000000002,2,0,4.6,-0.10000000000000053,8.125,-0.7149999999999999,0.204,-0.018000000000000016,SHRIMPLIN
4.3,2.4,2835.0,6,A1 LM,59.42,5.469999999999999,0.875,-0.025000000000000022,2,0,4.6,0.0,7.845,-0.28000000000000025,0.185,-0.01899999999999999,SHRIMPLIN
8.3,4.000000000000001,2835.5,6,A1 LM,68.43,9.010000000000005,0.8540000000000001,-0.020999999999999908,2,0,4.8,0.20000000000000018,8.665,0.8199999999999994,0.16699999999999998,-0.018000000000000016,SHRIMPLIN
11.0,2.6999999999999993,2836.0,6,A1 LM,75.88,7.449999999999989,0.8490000000000001,-0.0050000000000000044,2,0,4.6,-0.20000000000000018,10.04,1.375,0.14800000000000002,-0.01899999999999996,SHRIMPLIN
11.3,0.3000000000000007,2836.5,6,A1 LM,77.75,1.8700000000000045,0.8640000000000001,0.015000000000000013,2,0,4.7,0.10000000000000053,10.85,0.8100000000000005,0.13,-0.018000000000000016,SHRIMPLIN
9.6,-1.700000000000001,2837.0,6,A1 LM,80.93,3.180000000000007,0.907,0.04299999999999993,2,0,4.6,-0.10000000000000053,9.815,-1.0350000000000001,0.111,-0.019000000000000003,SHRIMPLIN
7.3,-2.3,2837.5,6,A1 LM,72.92,-8.010000000000005,0.932,0.025000000000000022,2,0,4.7,0.10000000000000053,7.475,-2.34,0.09300000000000001,-0.017999999999999988,SHRIMPLIN
5.7,-1.5999999999999996,2838.0,6,A1 LM,65.59,-7.329999999999998,0.92,-0.01200000000000001,2,0,5.0,0.2999999999999998,5.265,-2.21,0.07400000000000001,-0.019000000000000003,SHRIMPLIN
3.6,-2.1,2838.5,6,A1 LM,64.71,-0.8800000000000097,0.8859999999999999,-0.03400000000000014,2,0,5.4,0.40000000000000036,4.045,-1.2199999999999998,0.055999999999999994,-0.018000000000000016,SHRIMPLIN
2.9,-0.7000000000000002,2839.0,6,A1 LM,60.79,-3.9199999999999946,0.8290000000000001,-0.05699999999999983,2,0,5.5,0.09999999999999964,4.36,0.3150000000000004,0.037000000000000005,-0.01899999999999999,SHRIMPLIN
