Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
1,A1 SH,SHRIMPLIN,2793,77.45,0.664,9.9,11.915,4.6,1,1
1,A1 SH,SHRIMPLIN,2793.5,78.26,0.661,14.2,12.565,4.1,1,0.979
1,A1 SH,SHRIMPLIN,2794,79.05,0.658,14.8,13.05,3.6,1,0.957
1,A1 SH,SHRIMPLIN,2794.5,86.1,0.655,13.9,13.115,3.5,1,0.936
1,A1 SH,SHRIMPLIN,2795,74.58,0.647,13.5,13.3,3.4,1,0.915
1,A1 SH,SHRIMPLIN,2795.5,73.97,0.636,14.0,13.385,3.6,1,0.894
1,A1 SH,SHRIMPLIN,2796,73.72,0.63,15.6,13.93,3.7,1,0.872
1,A1 SH,SHRIMPLIN,2796.5,75.65,0.625,16.5,13.92,3.5,1,0.83
1,A1 SH,SHRIMPLIN,2797,73.79,0.624,16.2,13.98,3.4,1,0.809
1,A1 SH,SHRIMPLIN,2797.5,76.89,0.615,16.9,14.22,3.5,1,0.787
1,A1 SH,SHRIMPLIN,2798,76.11,0.6,14.8,13.375,3.6,1,0.766
1,A1 SH,SHRIMPLIN,2798.5,74.95,0.583,13.3,12.69,3.7,1,0.745
1,A1 SH,SHRIMPLIN,2799,71.87,0.561,11.3,12.475,3.5,1,0.723
1,A1 SH,SHRIMPLIN,2799.5,83.42,0.537,13.3,14.93,3.4,1,0.702
0,A1 SH,SHRIMPLIN,2800,90.1,0.519,14.3,16.555,3.2,1,0.681
0,A1 SH,SHRIMPLIN,2800.5,78.15,0.467,11.8,15.96,3.1,1,0.638
0,A1 SH,SHRIMPLIN,2801,69.3,0.438,9.5,15.12,3.1,1,0.617
0,A1 SH,SHRIMPLIN,2801.5,63.54,0.418,8.8,15.19,3.0,1,0.596
0,A1 SH,SHRIMPLIN,2802,63.87,0.401,7.2,15.39,2.9,1,0.574
0,A1 SH,SHRIMPLIN,2802.5,58.32,0.386,6.6,14.885,2.8,1,0.553
0,A1 SH,SHRIMPLIN,2803,56.61,0.369,5.5,14.8,3.0,1,0.532
0,A1 SH,SHRIMPLIN,2803.5,55.97,0.352,6.1,14.46,3.0,1,0.511
0,A1 SH,SHRIMPLIN,2804,63.67,0.344,6.0,14.745,3.0,1,0.489
0,A1 SH,SHRIMPLIN,2804.5,66.2,0.342,6.8,15.135,3.0,1,0.468
0,A1 SH,SHRIMPLIN,2805,61.27,0.346,6.1,15.48,3.0,1,0.447
1,A1 SH,SHRIMPLIN,2805.5,69.48,0.354,5.8,14.675,3.0,1,0.404
1,A1 SH,SHRIMPLIN,2806,76.37,0.354,5.2,13.635,3.0,1,0.383
0,A1 SH,SHRIMPLIN,2806.5,82.2,0.348,7.4,15.055,3.0,1,0.362
0,A1 SH,SHRIMPLIN,2807,90.25,0.346,11.5,20.23,3.1,1,0.34
0,A1 SH,SHRIMPLIN,2807.5,94.38,0.358,14.2,24.015,3.0,1,0.319
0,A1 SH,SHRIMPLIN,2808,87.44,0.377,13.9,23.58,3.1,1,0.298
0,A1 SH,SHRIMPLIN,2808.5,70.98,0.401,11.5,18.395,3.1,1,0.277
0,A1 SH,SHRIMPLIN,2809,64.72,0.439,10.3,13.815,3.1,1,0.255
1,A1 SH,SHRIMPLIN,2809.5,54.29,0.47,9.9,9.44,3.2,1,0.234
1,A1 SH,SHRIMPLIN,2810,41.46,0.493,11.1,5.255,3.4,1,0.213
1,A1 SH,SHRIMPLIN,2810.5,50.93,0.524,12.1,5.265,4.6,1,0.17
1,A1 SH,SHRIMPLIN,2811,72.79,0.543,11.3,11.76,4.1,1,0.149
1,A1 SH,SHRIMPLIN,2811.5,95.34,0.555,14.1,17.665,3.5,1,0.128
1,A1 SH,SHRIMPLIN,2812,102.35,0.558,15.8,20.145,3.2,1,0.106
1,A1 SH,SHRIMPLIN,2812.5,79.7,0.549,15.5,18.07,3.2,1,0.085
1,A1 SH,SHRIMPLIN,2813,66.69,0.53,14.0,15.72,3.3,1,0.064
0,A1 SH,SHRIMPLIN,2813.5,73.68,0.521,14.7,15.98,3.3,1,0.043
0,A1 SH,SHRIMPLIN,2814,71.05,0.535,17.2,18.02,3.3,1,0.021
